id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RHOXF1	2109	5.7865e-07	0.0031628	1.0	1	733	0.11537	0.032574	0.2404	0.739223	161	783	0.11537
splice_essential_wang	1531	8.4465e-07	0.0038519	1.0	2	548	-0.017964	0.57815	0.93544	1.0	519	494	-0.017964
OTX2	887	1.1735e-06	0.0049574	1.0	3	328	0.034019	0.19908	0.64403	0.98313	352	333	0.034019
MXI1	1553	3.862e-05	0.036918	1.0	4	535	0.041279	0.1319	0.48972	0.881816	291	571	0.041279
OTX1	1258	4.8225e-05	0.041478	1.0	5	440	0.11619	0.090344	0.4002	0.860577	252	476	0.11619
GSC2	1258	4.8225e-05	0.041478	1.0	6	440	0.11619	0.090344	0.4002	0.860577	253	476	0.11619
CRX	1258	4.8225e-05	0.041478	1.0	7	440	0.11619	0.090344	0.4002	0.860577	249	476	0.11619
PITX3	1258	4.8225e-05	0.041478	1.0	8	440	0.11619	0.090344	0.4002	0.860577	248	476	0.11619
PITX1	1258	4.8225e-05	0.041478	1.0	9	440	0.11619	0.090344	0.4002	0.860577	251	476	0.11619
GSC	1258	4.8225e-05	0.041478	1.0	10	440	0.11619	0.090344	0.4002	0.860577	250	476	0.11619
splice_essential_wei	29	6.2605e-05	0.0088092	1.0	11	12	-0.33539	0.67871	0.93369	1.0	540	6	-0.33539
NKX2-1	465	0.00015056	0.07499	1.0	12	155	0.20395	0.63222	0.95429	1.0	528	172	0.20395
NoMotif	7811	0.00022037	0.092004	1.0	13	2396	0.24556	0.024232	0.20463	0.703447	144	3114	0.24556
ZNF213	275	0.00031158	0.11366	1.0	14	109	-0.055569	0.2185	0.66685	0.995419	369	98	-0.055569
GCM2	12	0.00031616	0.010078	1.0	15	6	-0.4713	0.87649	0.95689	1.0	570	1	-0.4713
SP9	135	0.00058423	0.15243	1.0	16	54	-0.045426	0.04687	0.28423	0.772636	186	50	-0.045426
ZNF460	251	0.00065983	0.15911	1.0	17	85	0.34321	0.0071737	0.051462	0.340316	82	106	0.34321
MLXIP	439	0.00067957	0.16116	1.0	18	126	0.33656	0.00046205	0.0076591	0.104675	41	192	0.33656
MAX	439	0.00067957	0.16116	1.0	19	126	0.33656	0.00046205	0.0076591	0.104675	42	192	0.33656
MNT	439	0.00067957	0.16116	1.0	20	126	0.33656	0.00046205	0.0076591	0.104675	40	192	0.33656
ARNT	439	0.00067957	0.16116	1.0	21	126	0.33656	0.00046205	0.0076591	0.104675	39	192	0.33656
ZBTB32	10	0.00073545	0.017504	1.0	22	8	-1.2742	0.84131	0.93573	1.0	565	1	-1.2742
ZNF417	216	0.00074425	0.16655	1.0	23	71	0.45538	0.00061877	0.0089778	0.120029	45	98	0.45538
ZNF384	521	0.00086474	0.17736	1.0	24	177	-0.017359	0.97384	0.99976	1.0	604	173	-0.017359
PGR	64	0.00088055	0.11684	1.0	25	24	-0.24315	0.023171	0.16824	0.694406	142	20	-0.24315
CLOCK	203	0.00088561	0.17786	1.0	26	61	0.18094	0.084447	0.3813	0.860577	233	79	0.18094
MAX::MYC	5	0.00091717	0.0085911	1.0	27	4	-1.5373	0.96147	0.94695	1.0	601	0	-1.5373
ARNT::HIF1A	1380	0.0010059	0.18796	1.0	28	409	0.30188	0.0011796	0.01459	0.166159	50	579	0.30188
splice_nonessential_liu	381	0.0011958	0.20723	1.0	29	79	1.3451	1.821e-14	4.9574e-06	0.000436	4	228	1.3451
ATOH1	483	0.0015942	0.23775	1.0	30	161	0.1479	0.05458	0.30958	0.773956	202	177	0.1479
