tf,cl1,cl2,agg_delta_grad,agg_delta_chip_log2,n_hits,grad_agg,chip_agg,chip_win_stat,cre_filter_id
ATF3,K562,HepG2,0.038755418786693495,-0.3640719779196876,28,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
CREB1,K562,HepG2,0.02521185839908535,0.0858632116923918,11,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
CREM,K562,HepG2,0.03378908353236817,0.2479894435815551,6,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
CTCF,K562,HepG2,0.03040108773737419,0.0047782830758416,33,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
E2F8,K562,HepG2,0.042959444902630275,-0.1260239179413879,5,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
EGR1,K562,HepG2,0.0369232523390868,-0.7532888782798814,24,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
ELF1,K562,HepG2,0.019996542484329055,-0.6206614952913978,17,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
FOSL1,K562,HepG2,0.043848231885330886,0.7014317661591816,7,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
GABPA,K562,HepG2,0.032693744497373674,0.860387718800068,12,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
JUN,K562,HepG2,0.03555078317546754,-0.2444403764796372,23,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
JUND,K562,HepG2,0.04490953441615206,1.2698143773935429,8,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
MAFK,K562,HepG2,0.02832051305112574,0.3400922115573612,19,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
MAZ,K562,HepG2,0.01422439014037321,0.8094692450556384,91,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
MYC,K562,HepG2,0.01829328738346124,-0.47146579575236247,22,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
NRF1,K562,HepG2,0.05099695020908257,1.5856074541854979,8,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
RFX5,K562,HepG2,0.04422371419745362,-0.3524878359821817,5,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
SP1,K562,HepG2,0.0293090063650859,0.6779588725180132,106,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
SP2,K562,HepG2,0.026300966678617338,0.973877588825169,96,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
TCF12,K562,HepG2,0.012661425092778063,0.3662431563562243,57,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
TEAD4,K562,HepG2,0.01745014044519682,-1.1055712137482632,11,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
USF1,K562,HepG2,0.018213265691883862,-0.6002044822789213,8,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
USF2,K562,HepG2,0.03071570357174744,-0.085624004970233,7,mean,median,median,p10_p20_e1p2_pwm12p0_dg0p02_n5_pftop50_onone_m2
ATF1,K562,hPSC,0.04829798861464948,-0.27024358120661474,10,mean,median,median,p10_p20_e1p2_pwm10p0_dg0p02_n5_pftop50_oiqr_m2
ATF2,K562,hPSC,0.03283767203748634,-0.8533036375924427,9,mean,median,median,p10_p20_e1p2_pwm10p0_dg0p02_n5_pftop50_oiqr_m2
ATF3,K562,hPSC,0.032383209029157166,0.5652462725316101,30,mean,median,median,p10_p20_e1p2_pwm10p0_dg0p02_n5_pftop50_oiqr_m2
BACH1,K562,hPSC,0.022827208603830723,0.0388840637564422,18,mean,median,median,p10_p20_e1p2_pwm10p0_dg0p02_n5_pftop50_oiqr_m2
BCL11A,K562,hPSC,0.02214066849704804,0.0,48,mean,median,median,p10_p20_e1p2_pwm10p0_dg0p02_n5_pftop50_oiqr_m2
CREB1,K562,hPSC,0.037079102892005854,-0.3633373851415631,19,mean,median,median,p10_p20_e1p2_pwm10p0_dg0p02_n5_pftop50_oiqr_m2
CTCF,K562,hPSC,0.03705310102177434,2.2289400046094974,39,mean,median,median,p10_p20_e1p2_pwm10p0_dg0p02_n5_pftop50_oiqr_m2
EGR1,K562,hPSC,0.029916867001156783,0.5105910640390429,68,mean,median,median,p10_p20_e1p2_pwm10p0_dg0p02_n5_pftop50_oiqr_m2
ETS1,K562,hPSC,0.02277458618153578,-0.8600283884739839,15,mean,median,median,p10_p20_e1p2_pwm10p0_dg0p02_n5_pftop50_oiqr_m2
FOSL1,K562,hPSC,0.04658158097027189,0.5755066299839202,28,mean,median,median,p10_p20_e1p2_pwm10p0_dg0p02_n5_pftop50_oiqr_m2
GABPA,K562,hPSC,0.022938145656371485,-0.39326835728076814,36,mean,median,median,p10_p20_e1p2_pwm10p0_dg0p02_n5_pftop50_oiqr_m2
