id	tRRA	local score	global score	high in local	high in global	group
AML_TFRC-E37	3.295249095709329	0.6623176692452758	0.6686283445831702	1	1	Core-Functional
AML_TFRC-E31	3.277942228668536	0.1650614597049783	0.44853973846137696	0	1	Functional
AML_TFRC-E35	1.594226898626643	0.31930548631286043	1.0	1	1	Core-Functional
AML_TFRC-E34	1.1932029521467216	0.3538449662173511	0.2874083992689027	1	0	Core
AML_TFRC-E59	1.126406233232178	0.26938133626277205	0.15880490205096567	0	0	non-Functional
AML_TFRC-E50	1.0274593026984709	0.11618312462639534	0.16640230942440662	0	0	non-Functional
AML_TFRC-E46	1.0178056800851525	0.16964093241045333	0.5287930202082747	0	1	Functional
AML_TFRC-E42	0.8645810949721477	0.21443945452106414	0.684674585885146	0	1	Functional
AML_TFRC-E71	0.7847591129346412	0.33172712527243803	0.7428655487153173	1	1	Core-Functional
AML_TFRC-E66	0.7700878916698528	1.0	0.1578082577360135	1	0	Core
AML_TFRC-E65	0.6484935770709558	0.3765421099033405	0.6354782808187598	1	1	Core-Functional
AML_TFRC-E23	0.6113837790485445	0.1846792222304535	0.5256424498928659	0	1	Functional
AML_TFRC-E11	0.5788239981479072	0.22053948568861945	0.7864840496184509	0	1	Functional
AML_TFRC-E62	0.5279167167766426	0.07956847729918562	0.4455977201631441	0	1	Functional
AML_TFRC-E12	0.5135695211455662	0.19693868311850857	0.41749193238259674	0	0	non-Functional
AML_TFRC-E30	0.4457531918338894	0.06274800842436105	0.20109846122901112	0	0	non-Functional
AML_TFRC-E60	0.4429622341177715	0.014018503427874918	0.20012572464690848	0	0	non-Functional
AML_TFRC-E55	0.42433884728747595	0.5149073682903829	0.8362072432998376	1	1	Core-Functional
AML_TFRC-E64	0.3948781936564132	0.0759229189205303	0.11353022506023164	0	0	non-Functional
AML_TFRC-E54	0.35160095306722844	0.024879317490604683	0.0006724819371096398	0	0	non-Functional
AML_TFRC-E51	0.3500229384104211	0.15250322632027744	0.08521708074686613	0	0	non-Functional
AML_TFRC-E38	0.326002797948864	0.4318806493974829	0.5818717627775087	1	1	Core-Functional
AML_TFRC-E15	0.3215726775661329	0.3730682956552962	0.6493395109924917	1	1	Core-Functional
AML_TFRC-E39	0.31714221843043106	0.3005506713037582	0.02281140849916375	0	0	non-Functional
AML_TFRC-E45	0.30904235695506405	0.15681729650267104	0.10144893679774994	0	0	non-Functional
AML_TFRC-E56	0.29234467646881307	0.031668327379017716	0.24947300381430917	0	0	non-Functional
AML_TFRC-E52	0.27841194561931754	0.3219753066644954	0.1831719163252906	1	0	Core
AML_TFRC-E20	0.2749954550802431	0.26890770510464934	0.05558166340203784	0	0	non-Functional
AML_TFRC-E32	0.2671962667344557	0.33263879295021487	0.6549140320167485	1	1	Core-Functional
AML_TFRC-E16	0.26620108000814446	0.022911601382762718	0.2959348208956505	0	0	non-Functional
AML_TFRC-E29	0.2520369337471518	0.16494577712995537	0.21809097191388271	0	0	non-Functional
AML_TFRC-E10	0.2385608298497278	0.020654901303853855	0.3292330026069525	0	0	non-Functional
AML_TFRC-E53	0.23624266656391996	0.4998615146097081	0.6807389296937345	1	1	Core-Functional
AML_TFRC-E19	0.2251109413040337	0.19483993424780408	0.6230493275056118	0	1	Functional
AML_TFRC-E13	0.220042948753094	0.3823320227832382	0.3449882675966708	1	0	Core
AML_TFRC-E28	0.20964445358561357	0.05527469161138931	0.2208251709062338	0	0	non-Functional
AML_TFRC-E72	0.2000463563778777	0.02054500285758207	0.33374938448644237	0	0	non-Functional
AML_TFRC-E40	0.19408475488379395	0.2278292676469875	0.0	0	0	non-Functional
AML_TFRC-E69	0.1864790562942541	0.16105483821235717	0.3254457031234081	0	0	non-Functional
AML_TFRC-E36	0.18609224607288494	0.07432716678468514	0.15266764201914565	0	0	non-Functional
AML_TFRC-E43	0.18062718387067578	0.29961297504660117	0.5364361540491929	0	1	Functional
AML_TFRC-E44	0.17973284283903543	0.3435098404715044	0.8731464219434639	1	1	Core-Functional
AML_TFRC-E21	0.17360769503416484	0.046666573230740686	0.12337472269807068	0	0	non-Functional
AML_TFRC-E27	0.1693920867863604	0.12664616860423855	0.32593233945945793	0	0	non-Functional
AML_TFRC-E14	0.1539104196420159	0.18879285010497082	0.3597051072382364	0	0	non-Functional
AML_TFRC-E49	0.13039283656126455	0.1539276792584925	0.13639065009753992	0	0	non-Functional
AML_TFRC-E22	0.12684803252638693	0.0	0.1458167100412744	0	0	non-Functional
AML_TFRC-E18	0.1092046544019015	0.14019415540485675	0.4155678383967103	0	0	non-Functional
AML_TFRC-E33	0.10876369809339448	0.01596842221648259	0.48233188072074945	0	1	Functional
AML_TFRC-E67	0.10640466618011682	0.08642845399804541	0.1947381926747271	0	0	non-Functional
AML_TFRC-E57	0.0974749631317266	0.5892923763625795	0.37605698888040645	1	0	Core
AML_TFRC-E48	0.07704629904021307	0.008215020092061083	0.3353632868424995	0	0	non-Functional
AML_TFRC-E70	0.07494071876241232	0.09468196079295066	0.6029543829959871	0	1	Functional
AML_TFRC-E61	0.07394580649006363	0.31166643196451926	0.9436203384221366	0	1	Functional
AML_TFRC-E68	0.03759277769627231	0.27043471509495204	0.11349927804676742	0	0	non-Functional
AML_TFRC-E41	0.03630659476198122	0.09460387505481019	0.1607441424208236	0	0	non-Functional
AML_TFRC-E17	0.026299624834153292	0.06371818478912068	0.5118553529408613	0	1	Functional
AML_TFRC-E47	0.022829901306652516	0.1880451402306399	0.6916690034683368	0	1	Functional
