id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
AML_TFRC-E50	6	0.0052061	0.023122	0.725849	1	3	-0.027934	0.19573	0.39698	0.967152	23	3	-0.027934
AML_TFRC-E18	30	0.011741	0.080045	0.725849	2	15	-0.12684	0.53524	0.88071	0.967152	47	10	-0.12684
AML_TFRC-E56	7	0.017322	0.069975	0.725849	3	6	-0.26199	0.79188	0.88305	0.967152	61	1	-0.26199
AML_TFRC-E10	8	0.018294	0.07481	0.725849	4	4	-0.098154	0.19727	0.43155	0.967152	24	4	-0.098154
AML_TFRC-E32	14	0.024057	0.11606	0.725849	5	9	-0.28404	0.53375	0.81352	0.967152	46	2	-0.28404
AML_TFRC-E36	7	0.025557	0.093132	0.725849	6	4	-0.37374	0.46355	0.68207	0.967152	40	2	-0.37374
AML_TFRC-E35	6	0.025805	0.090704	0.725849	7	4	-0.25113	0.0052061	0.022562	0.293312	5	2	-0.25113
AML_TFRC-E51	10	0.028272	0.11531	0.725849	8	4	0.04988	0.16219	0.40848	0.967152	21	4	0.04988
AML_TFRC-E47	14	0.030985	0.14031	0.725849	9	7	-0.073288	0.29882	0.62258	0.967152	29	5	-0.073288
AML_TFRC-E28	13	0.033387	0.14517	0.725849	10	4	-0.031172	0.31511	0.63178	0.967152	32	6	-0.031172
AML_TFRC-E52	9	0.035329	0.13268	0.725849	11	5	-0.17955	0.43648	0.69733	0.967152	38	2	-0.17955
AML_TFRC-E44	7	0.036323	0.12294	0.725849	12	3	-0.021615	0.51864	0.72865	0.967152	45	2	-0.021615
AML_TFRC-E61	13	0.037171	0.15664	0.72725	13	6	-0.10985	0.76133	0.9241	0.967152	59	3	-0.10985
AML_TFRC-E69	3	0.038622	0.09465	0.725849	14	2	-0.27902	0.57445	0.60937	0.967152	48	1	-0.27902
NonTarget	53	0.040173	0.23851	0.815943	15	22	-0.01179	0.64312	0.95227	0.967152	52	18	-0.01179
AML_TFRC-E11	9	0.053468	0.18125	0.785433	16	1	0.33431	0.0012129	0.0075774	0.164177	3	7	0.33431
AML_TFRC-E57	17	0.053599	0.22224	0.815943	17	10	-0.15503	0.87321	0.97232	0.972323	64	4	-0.15503
AML_TFRC-E65	14	0.081282	0.28217	0.873392	18	8	-0.19815	0.50176	0.79511	0.967152	43	3	-0.19815
AML_TFRC-E14	7	0.082165	0.23605	0.815943	19	3	-0.062242	0.68961	0.82291	0.967152	56	2	-0.062242
AML_TFRC-E59	6	0.085482	0.22254	0.815943	20	4	-0.17815	0.046047	0.14122	0.834504	11	1	-0.17815
AML_TFRC-E54	6	0.12496	0.29587	0.874159	21	3	-0.12997	0.36387	0.58136	0.967152	33	2	-0.12997
AML_TFRC-E49	8	0.15513	0.37946	0.948639	22	4	-0.15667	0.5897	0.79035	0.967152	49	3	-0.15667
AML_TFRC-E39	6	0.16028	0.35768	0.929961	23	1	0.20711	0.029243	0.10084	0.655487	10	5	0.20711
AML_TFRC-E62	3	0.16765	0.27876	0.873392	24	2	-0.23435	0.49299	0.55742	0.967152	42	1	-0.23435
AML_TFRC-E20	10	0.17643	0.43488	0.970041	25	5	-0.090041	0.44155	0.71141	0.967152	39	3	-0.090041
AML_TFRC-E48	15	0.19116	0.49976	0.970041	26	8	-0.13268	0.7689	0.93558	0.967152	60	3	-0.13268
AML_TFRC-E15	9	0.19251	0.43985	0.970041	27	3	-0.09005	0.090742	0.26715	0.967152	13	4	-0.09005
AML_TFRC-E72	11	0.19927	0.47452	0.970041	28	5	-0.048703	0.61265	0.83935	0.967152	51	2	-0.048703
AML_TFRC-E68	7	0.24893	0.48939	0.970041	29	4	-0.15233	0.86813	0.91467	0.967152	63	1	-0.15233
AML_TFRC-E71	9	0.28267	0.5567	0.970041	30	4	0.059424	0.65727	0.83874	0.967152	54	2	0.059424
AML_TFRC-E46	9	0.29034	0.56383	0.970041	31	3	-0.081573	0.15284	0.37526	0.967152	20	3	-0.081573
AML_TFRC-E60	10	0.29771	0.58606	0.970041	32	4	-0.0051808	0.16567	0.41351	0.967152	22	3	-0.0051808
AML_TFRC-E29	6	0.32248	0.54028	0.970041	33	3	-0.084974	0.47469	0.67355	0.967152	41	2	-0.084974
AML_TFRC-E31	4	0.32338	0.47753	0.970041	34	1	0.71416	0.0010031	0.0037013	0.120292	2	3	0.71416
AML_TFRC-E53	10	0.32609	0.61898	0.981303	35	5	-0.085348	0.50919	0.76395	0.967152	44	3	-0.085348
SEC61G	1	0.34	0.34016	0.929961	36	1	-0.17941	0.66	0.66246	0.967152	55	0	-0.17941
HARS	1	0.34696	0.3475	0.929961	37	1	-0.20332	0.65304	0.6558	0.967152	53	0	-0.20332
AML_TFRC-E41	11	0.37637	0.67373	0.999136	38	4	-0.080314	0.85756	0.95049	0.967152	62	3	-0.080314
AML_TFRC-E64	4	0.37908	0.53043	0.970041	39	2	-0.075062	0.40267	0.55059	0.967152	35	1	-0.075062
