sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
sgRNA_205	AML_TFRC-E35	11613	29442	11613	29442	1.3421	1.5894e+08	1.7582e+06	13.446	1	1.6253e-41	3.2506e-41	1.8691e-38	True
sgRNA_226	AML_TFRC-E37	11450	28792	11450	28792	1.3303	1.5037e+08	1.7205e+06	13.221	1	3.3087e-40	6.6175e-40	1.9025e-37	True
sgRNA_167	AML_TFRC-E31	7815.7	17988	7815.7	17988	1.2024	5.1734e+07	9.5882e+05	10.388	1	1.4055e-25	2.8109e-25	5.3876e-23	True
sgRNA_218	AML_TFRC-E37	9640.3	20760	9640.3	20760	1.1066	6.1829e+07	1.322e+06	9.6714	1	1.994e-22	3.9879e-22	5.7326e-20	True
sgRNA_436	AML_TFRC-E59	9074.1	19256	9074.1	19256	1.0854	5.1832e+07	1.205e+06	9.2751	1	8.8739e-21	1.7748e-20	2.041e-18	True
sgRNA_215	AML_TFRC-E37	6573.3	14228	6573.3	14228	1.114	2.9301e+07	7.3563e+05	8.9253	1	2.2224e-19	4.4448e-19	4.2596e-17	True
sgRNA_225	AML_TFRC-E37	14398	27607	14398	27607	0.93913	8.724e+07	2.4438e+06	8.4497	1	1.4597e-17	2.9193e-17	2.398e-15	True
sgRNA_170	AML_TFRC-E31	9021.7	17762	9021.7	17762	0.97725	3.8197e+07	1.1944e+06	7.9976	1	6.344e-16	1.2688e-15	9.1196e-14	True
sgRNA_274	AML_TFRC-E42	8201.7	15458	8201.7	15458	0.91429	2.6328e+07	1.0323e+06	7.1422	1	4.5936e-13	9.1872e-13	5.8696e-11	True
sgRNA_200	AML_TFRC-E34	11815	21360	11815	21360	0.8543	4.5559e+07	1.8051e+06	7.1048	1	6.0261e-13	1.2052e-12	6.93e-11	True
sgRNA_310	AML_TFRC-E46	6649.6	12602	6649.6	12602	0.9222	1.7715e+07	7.4874e+05	6.8789	1	3.0161e-12	6.0322e-12	3.1532e-10	True
sgRNA_227	AML_TFRC-E37	15829	26891	15829	26891	0.7645	6.1183e+07	2.8257e+06	6.5806	1	2.3422e-11	4.6845e-11	2.2447e-09	True
sgRNA_216	AML_TFRC-E37	13671	23531	13671	23531	0.7834	4.861e+07	2.2573e+06	6.5627	1	2.6429e-11	5.2858e-11	2.338e-09	True
sgRNA_199	AML_TFRC-E34	2743.1	5520.9	2743.1	5520.9	1.0089	3.8582e+06	1.9334e+05	6.3175	1	1.329e-10	2.6579e-10	1.0917e-08	True
sgRNA_70	AML_TFRC-E18	11324	19203	11324	19203	0.7619	3.1039e+07	1.6916e+06	6.0579	1	6.8945e-10	1.3789e-09	5.2858e-08	True
