id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
AML_TFRC-E38	17	0.0023317	0.019274	0.917834	1	14	-0.61113	0.99508	0.99478	0.994783	122	0	-0.61113
AML_TFRC-E51	10	0.0057389	0.035038	0.917834	2	8	-0.6533	0.53089	0.53308	0.971302	63	0	-0.6533
AML_TFRC-E54	6	0.014417	0.061545	0.917834	3	5	-0.88493	0.89332	0.8926	0.982459	111	0	-0.88493
NonTarget_51	1	0.01801	0.018126	0.917834	4	1	-1.9207	0.98199	0.98197	0.99009	121	0	-1.9207
AML_TFRC-E47	14	0.023833	0.12668	0.917834	5	8	-0.50027	0.37891	0.3796	0.969927	46	0	-0.50027
NonTarget_8	1	0.026587	0.026602	0.917834	6	1	-1.7194	0.97341	0.97357	0.989794	120	0	-1.7194
AML_TFRC-E28	13	0.032936	0.15545	0.917834	7	6	0.11342	0.6078	0.60625	0.971302	70	0	0.11342
AML_TFRC-E12	6	0.040592	0.13625	0.917834	8	3	-0.2332	0.76339	0.76359	0.971302	95	0	-0.2332
AML_TFRC-E60	10	0.042064	0.17437	0.917834	9	4	0.32425	0.13659	0.13753	0.693228	22	0	0.32425
AML_TFRC-E15	9	0.047277	0.17976	0.917834	10	5	-0.53777	0.54237	0.54123	0.971302	65	0	-0.53777
AML_TFRC-E21	7	0.048207	0.17124	0.917834	11	3	0.23305	0.52931	0.52943	0.971302	61	0	0.23305
NonTarget_31	1	0.048885	0.049205	0.917834	12	1	-1.7986	0.95111	0.9515	0.983758	118	0	-1.7986
NonTarget_50	1	0.057461	0.057761	0.917834	13	1	-1.2501	0.94254	0.94289	0.983182	117	0	-1.2501
AML_TFRC-E32	14	0.058176	0.24369	0.917834	14	5	0.37301	0.20547	0.20647	0.809588	28	0	0.37301
AML_TFRC-E53	10	0.058438	0.22327	0.917834	15	6	-0.16614	0.43651	0.43923	0.971302	53	0	-0.16614
AML_TFRC-E19	14	0.064808	0.26316	0.917834	16	8	-0.22557	0.71874	0.7164	0.971302	86	0	-0.22557
AML_TFRC-E69	3	0.065076	0.1519	0.917834	17	3	-0.27995	0.93492	0.93449	0.983182	115	0	-0.27995
AML_TFRC-E72	11	0.065519	0.24432	0.917834	18	8	-0.60368	0.62319	0.62173	0.971302	75	0	-0.60368
AML_TFRC-E49	8	0.073026	0.23992	0.917834	19	4	0.057258	0.75301	0.75261	0.971302	93	0	0.057258
AML_TFRC-E18	30	0.074169	0.3419	0.948313	20	17	-0.043845	0.89088	0.88995	0.982459	109	0	-0.043845
NonTarget_37	1	0.078045	0.078588	0.917834	21	1	-1.4025	0.92196	0.92246	0.983182	114	0	-1.4025
NonTarget_13	1	0.081475	0.081962	0.917834	22	1	-1.2347	0.91852	0.91905	0.983182	113	0	-1.2347
AML_TFRC-E30	5	0.08703	0.23234	0.917834	23	2	0.14443	0.83722	0.83739	0.971302	105	0	0.14443
AML_TFRC-E39	6	0.092152	0.26326	0.917834	24	4	-0.26968	0.33629	0.33659	0.933272	44	0	-0.26968
NonTarget_20	1	0.093482	0.093853	0.917834	25	1	-1.1401	0.90652	0.90738	0.983182	112	0	-1.1401
NonTarget_21	1	0.1072	0.10788	0.917834	26	1	-1.0999	0.8928	0.89388	0.982459	110	0	-1.0999
AML_TFRC-E40	9	0.1152	0.34145	0.948313	27	5	-0.2154	0.97026	0.97036	0.989794	119	0	-0.2154
NonTarget_1	1	0.11578	0.11625	0.917834	28	1	-2.0254	0.88422	0.88481	0.982459	108	0	-2.0254
