sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
sgRNA_367	AML_TFRC-E51	20952	4233.7	20952	4233.7	-2.3068	1.3975e+08	5.919e+13	3.3275	0.00043811	0.99956	0.00087623	0.0084404	False
sgRNA_151	AML_TFRC-E28	1636.5	82.603	1636.5	82.603	-4.2918	1.2073e+06	1.7503e+10	3.2943	0.00049326	0.99951	0.00098652	0.0084404	False
sgRNA_442	AML_TFRC-E60	18981	4208.3	18981	4208.3	-2.173	1.0912e+08	4.3204e+13	3.2851	0.00050967	0.99949	0.0010193	0.0084404	False
sgRNA_389	AML_TFRC-E53	23558	6205.1	23558	6205.1	-1.9245	1.5056e+08	8.5997e+13	3.2726	0.0005328	0.99947	0.0010656	0.0084404	False
sgRNA_414	AML_TFRC-E57	23120	6436.4	23120	6436.4	-1.8446	1.3917e+08	8.1007e+13	3.2538	0.00056942	0.99943	0.0011388	0.0084404	False
sgRNA_349	AML_TFRC-E49	19420	5142.3	19420	5142.3	-1.9169	1.0193e+08	4.6467e+13	3.2386	0.00060053	0.9994	0.0012011	0.0084404	False
sgRNA_330	AML_TFRC-E47	27779	9167.8	27779	9167.8	-1.5992	1.7319e+08	1.4542e+14	3.2363	0.00060547	0.99939	0.0012109	0.0084404	False
sgRNA_179	AML_TFRC-E32	22421	6682	22421	6682	-1.7463	1.2385e+08	7.3454e+13	3.2292	0.00062078	0.99938	0.0012416	0.0084404	False
sgRNA_21	AML_TFRC-E12	13720	3109.2	13720	3109.2	-2.1413	5.6291e+07	1.5352e+13	3.2243	0.00063137	0.99937	0.0012627	0.0084404	False
sgRNA_516	AML_TFRC-E72	17516	4646.7	17516	4646.7	-1.9141	8.2806e+07	3.3442e+13	3.2206	0.00063957	0.99936	0.0012791	0.0084404	False
NonTarget_51	NonTarget_51	17100	4515.6	17100	4515.6	-1.9207	7.918e+07	3.0976e+13	3.2179	0.00064578	0.99935	0.0012916	0.0084404	False
sgRNA_296	AML_TFRC-E45	19616	5747	19616	5747	-1.771	9.6179e+07	4.798e+13	3.2114	0.00066049	0.99934	0.001321	0.0084404	False
sgRNA_120	AML_TFRC-E21	25221	8874.8	25221	8874.8	-1.5068	1.3361e+08	1.0689e+14	3.2015	0.00068357	0.99932	0.0013671	0.0084404	False
sgRNA_451	AML_TFRC-E61	22887	7839.6	22887	7839.6	-1.5456	1.1322e+08	7.8439e+13	3.1927	0.0007048	0.9993	0.0014096	0.0084404	False
sgRNA_117	AML_TFRC-E20	21863	7403.4	21863	7403.4	-1.5621	1.0454e+08	6.7788e+13	3.1881	0.00071594	0.99928	0.0014319	0.0084404	False
NonTarget_8	NonTarget_8	17302	5253.5	17302	5253.5	-1.7194	7.2586e+07	3.216e+13	3.1796	0.00073735	0.99926	0.0014747	0.0084404	False
sgRNA_171	AML_TFRC-E32	19740	6623.6	19740	6623.6	-1.5753	8.6017e+07	4.8949e+13	3.1733	0.00075368	0.99925	0.0015074	0.0084404	False
sgRNA_346	AML_TFRC-E48	19510	6657.8	19510	6657.8	-1.551	8.259e+07	4.7156e+13	3.1664	0.00077182	0.99923	0.0015436	0.0084404	False
sgRNA_253	AML_TFRC-E40	28516	12210	28516	12210	-1.2237	1.3295e+08	1.5808e+14	3.1657	0.00077343	0.99923	0.0015469	0.0084404	False
sgRNA_244	AML_TFRC-E38	17599	5694.1	17599	5694.1	-1.6278	7.0867e+07	3.3953e+13	3.1641	0.00077782	0.99922	0.0015556	0.0084404	False
sgRNA_394	AML_TFRC-E54	22959	8777.9	22959	8777.9	-1.387	1.0055e+08	7.9226e+13	3.1613	0.00078524	0.99921	0.0015705	0.0084404	False
sgRNA_275	AML_TFRC-E42	17957	5943	17957	5943	-1.5951	7.2169e+07	3.6202e+13	3.161	0.00078622	0.99921	0.0015724	0.0084404	False
sgRNA_260	AML_TFRC-E41	20358	7264.6	20358	7264.6	-1.4865	8.5721e+07	5.4006e+13	3.1607	0.00078699	0.99921	0.001574	0.0084404	False
sgRNA_69	AML_TFRC-E18	24924	10044	24924	10044	-1.311	1.1069e+08	1.0292e+14	3.1602	0.00078844	0.99921	0.0015769	0.0084404	False
sgRNA_229	AML_TFRC-E38	20727	7512.4	20727	7512.4	-1.464	8.7312e+07	5.7186e+13	3.1592	0.00079091	0.99921	0.0015818	0.0084404	False
sgRNA_163	AML_TFRC-E30	14482	4282.1	14482	4282.1	-1.7576	5.2014e+07	1.8239e+13	3.1567	0.00079787	0.9992	0.0015957	0.0084404	False
sgRNA_76	AML_TFRC-E18	29063	13102	29063	13102	-1.1493	1.2738e+08	1.6795e+14	3.154	0.00080521	0.99919	0.0016104	0.0084404	False
sgRNA_152	AML_TFRC-E28	19298	7051	19298	7051	-1.4525	7.5e+07	4.5546e+13	3.1445	0.00083172	0.99917	0.0016634	0.0084404	False
NonTarget_31	NonTarget_31	12781	3673.1	12781	3673.1	-1.7986	4.1473e+07	1.2247e+13	3.1434	0.00083499	0.99917	0.00167	0.0084404	False
sgRNA_93	AML_TFRC-E18	18720	6785.5	18720	6785.5	-1.4639	7.1215e+07	4.1335e+13	3.1416	0.00084015	0.99916	0.0016803	0.0084404	False
