tf	gene	locus_start	locus_end	id	chr	start	end	cell_line	RRA	label	neg_log10_score	neg_score_raw	source	score	coord_key	split_721
NRF1	SCARF1	1595744	1695744	EH38E3202911	chr17	1605584	1606084	K562	2.460698026410192	1			cre4	2.091254711151123	chr17:1605584-1606084	train
NRF1	SCARF1	1595744	1695744	EH38E3202929	chr17	1617665	1618165	K562	1.507281506352255	0			cre4	0.7910994291305542	chr17:1617665-1618165	neither
NRF1	SCARF1	1595744	1695744	EH38E3202930	chr17	1618302	1618802	K562	0.2921659211792975	0			cre4	-0.3046901822090149	chr17:1618302-1618802	train
NRF1	SCARF1	1595744	1695744	EH38E3202933	chr17	1620448	1620948	K562	0.0395672784140169	0			cre4	0.097075268626213	chr17:1620448-1620948	train
NRF1	SCARF1	1595744	1695744	EH38E3202943	chr17	1625204	1625704	K562	0.9356917933170402	0			cre4	0.8659510612487793	chr17:1625204-1625704	neither
NRF1	SCARF1	1595744	1695744	EH38E1840155	chr17	1625503	1626003	K562	0.9356917933170402	0			cre4	0.602922260761261	chr17:1625503-1626003	neither
NRF1	SCARF1	1595744	1695744	EH38E3202945	chr17	1626749	1627249	K562	0.6219293059935578	0			cre4	1.729541301727295	chr17:1626749-1627249	neither
NRF1	SCARF1	1595744	1695744	EH38E3202946	chr17	1627098	1627598	K562	0.6219293059935578	0			cre4	0.958486258983612	chr17:1627098-1627598	neither
NRF1	SCARF1	1595744	1695744	EH38E3202947	chr17	1627768	1628268	K562	0.6240621813692226	0			cre4	1.2908782958984375	chr17:1627768-1628268	neither
NRF1	SCARF1	1595744	1695744	EH38E1840159	chr17	1628212	1628712	K562	0.6240621813692226	0			cre4	1.1405919790267944	chr17:1628212-1628712	neither
NRF1	SCARF1	1595744	1695744	EH38E1840160	chr17	1628677	1629177	K562	0.6240621813692226	0			cre4	1.3136401176452637	chr17:1628677-1629177	neither
NRF1	SCARF1	1595744	1695744	EH38E3202948	chr17	1629040	1629540	K562	0.6240621813692226	0			cre4	1.6027281284332275	chr17:1629040-1629540	neither
NRF1	SCARF1	1595744	1695744	EH38E3202949	chr17	1629482	1629982	K562	2.481960094531813	1			cre4	2.270604133605957	chr17:1629482-1629982	test
NRF1	SCARF1	1595744	1695744	EH38E3202950	chr17	1629702	1630202	K562	2.481960094531813	1			cre4	3.3982796669006348	chr17:1629702-1630202	train
NRF1	SCARF1	1595744	1695744	EH38E3202951	chr17	1629927	1630427	K562	2.481960094531813	1			cre4	3.145174264907837	chr17:1629927-1630427	train
NRF1	SCARF1	1595744	1695744	EH38E3202967	chr17	1642896	1643396	K562	0.1507034591652735	0			cre4	0.1843576729297638	chr17:1642896-1643396	train
