tf	gene	locus_start	locus_end	chr	gstart	gend	gene_name	strand
NRF1	SCARF1	1595744	1695744	chr17	1604374	1604672	RN7SL105P	-
NRF1	SCARF1	1595744	1695744	chr17	1604740	1605085	SLC43A2	-
NRF1	SCARF1	1595744	1695744	chr17	1613195	1613271	SLC43A2	-
NRF1	SCARF1	1595744	1695744	chr17	1614979	1615034	SLC43A2	-
NRF1	SCARF1	1595744	1695744	chr17	1616562	1616769	SLC43A2	-
NRF1	SCARF1	1595744	1695744	chr17	1627715	1627920	SLC43A2	-
NRF1	SCARF1	1595744	1695744	chr17	1628081	1628341	SLC43A2	-
NRF1	SCARF1	1595744	1695744	chr17	1628794	1628834	SLC43A2	-
NRF1	SCARF1	1595744	1695744	chr17	1633858	1635617	SCARF1	-
NRF1	SCARF1	1595744	1695744	chr17	1636709	1636855	SCARF1	-
NRF1	SCARF1	1595744	1695744	chr17	1636941	1637062	SCARF1	-
NRF1	SCARF1	1595744	1695744	chr17	1638806	1638926	SCARF1	-
NRF1	SCARF1	1595744	1695744	chr17	1639639	1639742	SCARF1	-
NRF1	SCARF1	1595744	1695744	chr17	1639912	1640040	SCARF1	-
NRF1	SCARF1	1595744	1695744	chr17	1640448	1640666	SCARF1	-
NRF1	SCARF1	1595744	1695744	chr17	1643442	1643967	SCARF1	-
NRF1	SCARF1	1595744	1695744	chr17	1644834	1644935	SCARF1	-
NRF1	SCARF1	1595744	1695744	chr17	1645178	1645239	SCARF1	-
NRF1	SCARF1	1595744	1695744	chr17	1645597	1645744	SCARF1	-
NRF1	SCARF1	1595744	1695744	chr17	1646150	1646619	RILP	-
NRF1	SCARF1	1595744	1695744	chr17	1646906	1646989	RILP	-
NRF1	SCARF1	1595744	1695744	chr17	1647835	1647957	RILP	-
NRF1	SCARF1	1595744	1695744	chr17	1648350	1648495	RILP	-
NRF1	SCARF1	1595744	1695744	chr17	1648799	1649044	RILP	-
NRF1	SCARF1	1595744	1695744	chr17	1649200	1649306	RILP	-
NRF1	SCARF1	1595744	1695744	chr17	1649412	1649505	RILP	-
NRF1	SCARF1	1595744	1695744	chr17	1649577	1649866	RILP	-
NRF1	SCARF1	1595744	1695744	chr17	1650629	1650956	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1651108	1651310	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1651414	1651553	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1651648	1651788	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1653542	1653683	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1653777	1654016	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1655350	1655543	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1656392	1656565	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1656648	1656761	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1658253	1658381	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1658526	1658763	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1659357	1659548	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1659841	1660001	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1660432	1660578	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1660698	1660827	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1660993	1661162	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1661271	1661406	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1661611	1661790	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1661906	1662153	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1673081	1673197	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1673357	1673567	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1673746	1673892	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1674442	1674680	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1675152	1675339	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1675620	1675812	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1675928	1676054	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1676207	1676370	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1676505	1676711	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1676976	1677172	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1677565	1677694	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1678518	1678652	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1678762	1678881	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1679017	1679206	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1679291	1679410	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1679609	1679799	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1680726	1680831	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1680929	1681054	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1681478	1681690	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1681820	1682038	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1682129	1682293	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1683533	1683701	PRPF8	-
NRF1	SCARF1	1595744	1695744	chr17	1684472	1684867	PRPF8	-
