tf	gene	locus_start	locus_end	chr	gstart	gend	gene_name	strand
MXI1	HSPD1	197400613	197600613	chr2	197400715	197400936	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197401400	197401525	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197401742	197401888	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197401985	197402130	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197402556	197402826	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197402949	197403035	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197403585	197403764	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197405076	197405177	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197405275	197405472	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197407998	197408119	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197408369	197408581	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197409770	197410007	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197416741	197416911	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197418509	197418588	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197418796	197420542	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197421029	197421133	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197423808	197423974	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197434972	197435079	SF3B1	-
MXI1	HSPD1	197400613	197600613	chr2	197447745	197447851	RNU6-1029P	+
MXI1	HSPD1	197400613	197600613	chr2	197453493	197453664	COQ10B	+
MXI1	HSPD1	197400613	197600613	chr2	197453794	197454049	COQ10B	+
MXI1	HSPD1	197400613	197600613	chr2	197459932	197460081	COQ10B	+
MXI1	HSPD1	197400613	197600613	chr2	197462539	197462731	COQ10B	+
MXI1	HSPD1	197400613	197600613	chr2	197470070	197470171	COQ10B	+
MXI1	HSPD1	197400613	197600613	chr2	197473757	197475310	COQ10B	+
MXI1	HSPD1	197400613	197600613	chr2	197486584	197487198	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197487288	197487379	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197487858	197488036	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197488317	197488491	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197489002	197489247	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197490197	197490296	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197493324	197493492	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197494157	197494250	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197494657	197494752	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197495294	197495376	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197497140	197497392	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197498675	197498850	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197499142	197499438	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197499471	197499543	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197499554	197499621	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197499782	197499918	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197499999	197500274	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197500140	197500439	HSPE1	+
MXI1	HSPD1	197400613	197600613	chr2	197500413	197500439	HSPE1-MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197501074	197501238	HSPE1	+
MXI1	HSPD1	197400613	197600613	chr2	197501074	197501238	HSPE1-MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197503039	197503449	HSPE1	+
MXI1	HSPD1	197400613	197600613	chr2	197515571	197515684	MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197516047	197516146	MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197516160	197516355	MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197516610	197516737	HSPD1	-
MXI1	HSPD1	197400613	197600613	chr2	197523624	197523686	HSPE1-MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197523624	197523686	MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197535530	197535630	HSPE1-MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197535530	197535630	MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197540111	197540153	HSPE1-MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197540111	197540153	MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197540351	197540437	HSPE1-MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197540351	197540437	MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197548336	197548415	HSPE1-MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197548336	197548415	MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197550275	197550386	HSPE1-MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197550275	197550386	MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197550515	197550726	HSPE1-MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197550515	197553699	MOB4	+
MXI1	HSPD1	197400613	197600613	chr2	197568224	197572280	RFTN2	-
MXI1	HSPD1	197400613	197600613	chr2	197595991	197596069	RFTN2	-
