Editing effect,Group
4.991,Pred top 1%
4.991,Pred top 1%
4.991,Pred top 1%
3.839,Pred top 1%
3.839,Pred top 1%
3.6405,Pred top 1%
3.6405,Pred top 1%
3.6405,Pred top 1%
3.6405,Pred top 1%
5.6972,Pred top 1%
1.1557,Pred top 1%
0.12141,Pred top 1%
5.8426,Pred top 1%
5.8426,Pred top 1%
4.9199,Pred top 1%
4.9199,Pred top 1%
4.9199,Pred top 1%
4.9199,Pred top 1%
5.4457,Pred top 1%
1.3427,Pred top 1%
1.3427,Pred top 1%
1.3427,Pred top 1%
1.3427,Pred top 1%
1.3427,Pred top 1%
1.3427,Pred top 1%
3.4159,Pred top 1%
3.4159,Pred top 1%
3.4159,Pred top 1%
3.4159,Pred top 1%
3.4159,Pred top 1%
3.4159,Pred top 1%
5.506,Pred top 1%
3.3981,Pred top 1%
3.3981,Pred top 1%
3.3981,Pred top 1%
3.3981,Pred top 1%
3.3981,Pred top 1%
4.0203,Pred top 1%
0.91583,Pred top 1%
7.5811,Pred top 1%
0.96958,Pred top 1%
1.1899,Pred top 1%
1.1899,Pred top 1%
1.1899,Pred top 1%
1.1899,Pred top 1%
1.1899,Pred top 1%
1.1899,Pred top 1%
0.53526,Pred top 1%
0.53526,Pred top 1%
0.53526,Pred top 1%
3.8309,Pred top 1%
3.8309,Pred top 1%
3.8309,Pred top 1%
4.7223,Pred top 1%
4.7223,Pred top 1%
4.7223,Pred top 1%
3.7063,Pred top 1%
3.7063,Pred top 1%
3.7063,Pred top 1%
5.5022,Pred top 1%
0.60667,Pred top 1%
3.4275,Pred top 1%
1.2281,Pred top 1%
1.2281,Pred top 1%
0.32393,Pred top 1%
0.32393,Pred top 1%
3.6667,Pred top 1%
3.6667,Pred top 1%
3.6667,Pred top 1%
3.6667,Pred top 1%
3.6667,Pred top 1%
4.6053,Pred top 1%
4.6053,Pred top 1%
4.6053,Pred top 1%
1.1948,Pred top 1%
4.644,Pred top 1%
4.644,Pred top 1%
4.644,Pred top 1%
4.1157,Pred top 1%
4.1157,Pred top 1%
4.1157,Pred top 1%
4.1157,Pred top 1%
4.1157,Pred top 1%
4.1157,Pred top 1%
0.45924,Pred top 1%
0.90302,Pred top 1%
0.90302,Pred top 1%
0.90302,Pred top 1%
3.9499,Pred top 1%
3.9499,Pred top 1%
6.2114,Pred top 1%
6.2114,Pred top 1%
6.2114,Pred top 1%
5.2366,Pred top 1%
5.2366,Pred top 1%
5.2366,Pred top 1%
5.6005,Pred top 1%
1.3077,Pred top 1%
1.3077,Pred top 1%
3.7321,Pred top 1%
0.72778,Pred top 1%
0.83587,Pred top 1%
0.83587,Pred top 1%
0.83587,Pred top 1%
0.83587,Pred top 1%
0.83587,Pred top 1%
0.83587,Pred top 1%
0.83587,Pred top 1%
0.83587,Pred top 1%
0.83587,Pred top 1%
0.83587,Pred top 1%
0.83587,Pred top 1%
6.493,Pred top 1%
1.3011,Pred top 1%
3.4262,Pred top 1%
4.5062,Pred top 1%
5.5289,Pred top 1%
5.5289,Pred top 1%
5.5289,Pred top 1%
5.5289,Pred top 1%
5.5289,Pred top 1%
5.5289,Pred top 1%
5.5289,Pred top 1%
5.5289,Pred top 1%
5.5289,Pred top 1%
5.5289,Pred top 1%
5.5289,Pred top 1%
5.3534,Pred top 1%
5.3534,Pred top 1%
5.3534,Pred top 1%
5.3534,Pred top 1%
5.5447,Pred top 1%
5.5447,Pred top 1%
5.6308,Pred top 1%
6.6837,Pred top 1%
6.6837,Pred top 1%
6.6837,Pred top 1%
6.6837,Pred top 1%
7.3381,Pred top 1%
7.3381,Pred top 1%
7.3381,Pred top 1%
4.4996,Pred top 1%
4.4996,Pred top 1%
4.4996,Pred top 1%
5.1963,Pred top 1%
5.1963,Pred top 1%
4.0566,Pred top 1%
4.241,Pred top 1%
4.241,Pred top 1%
4.2702,Pred top 1%
4.2702,Pred top 1%
0.55672,Pred top 1%
0.55672,Pred top 1%
0.55672,Pred top 1%
0.55672,Pred top 1%
4.1401,Pred top 1%
4.1401,Pred top 1%
4.1401,Pred top 1%
4.1401,Pred top 1%
4.1401,Pred top 1%
6.2144,Pred top 1%
6.2144,Pred top 1%
6.2144,Pred top 1%
6.2144,Pred top 1%
0.99829,Pred top 1%
0.88422,Pred top 1%
4.2768,Pred top 1%
4.2768,Pred top 1%
4.6923,Pred top 1%
1.0527,Pred top 1%
0.66432,Pred top 1%
0.66432,Pred top 1%
1.2953,Pred top 1%
1.2953,Pred top 1%
6.7753,Pred top 1%
6.7753,Pred top 1%
6.7753,Pred top 1%
6.7753,Pred top 1%
6.7753,Pred top 1%
6.7753,Pred top 1%
6.7753,Pred top 1%
6.7753,Pred top 1%
6.7753,Pred top 1%
6.7753,Pred top 1%
0.88389,Pred top 1%
1.1349,Pred top 1%
5.3359,Pred top 1%
1.1593,Pred top 1%
1.1978,Pred top 1%
1.1978,Pred top 1%
3.6253,Pred top 1%
3.6253,Pred top 1%
1.1639,Pred top 1%
0.79331,Pred top 1%
0.79331,Pred top 1%
3.5763,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
6.2124,Pred top 1%
3.3964,Pred top 1%
1.0563,Pred top 1%
1.0563,Pred top 1%
3.6678,Pred top 1%
3.6678,Pred top 1%
3.6678,Pred top 1%
3.6678,Pred top 1%
3.6678,Pred top 1%
3.6678,Pred top 1%
3.6678,Pred top 1%
3.6678,Pred top 1%
3.6678,Pred top 1%
3.6678,Pred top 1%
3.6678,Pred top 1%
3.6678,Pred top 1%
3.6678,Pred top 1%
3.6678,Pred top 1%
1.3112,Pred top 1%
3.6822,Pred top 1%
3.6822,Pred top 1%
3.6822,Pred top 1%
5.1461,Pred top 1%
5.1461,Pred top 1%
0.53043,Pred top 1%
5.463,Pred top 10%
1.3164,Pred top 10%
1.3164,Pred top 10%
1.3164,Pred top 10%
0.56267,Pred top 10%
0.96515,Pred top 10%
4.991,Pred top 10%
4.991,Pred top 10%
4.991,Pred top 10%
3.839,Pred top 10%
3.839,Pred top 10%
5.9792,Pred top 10%
5.9792,Pred top 10%
5.9792,Pred top 10%
4.2128,Pred top 10%
4.2128,Pred top 10%
4.2128,Pred top 10%
4.2128,Pred top 10%
4.2128,Pred top 10%
4.2128,Pred top 10%
4.2128,Pred top 10%
4.057,Pred top 10%
4.057,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
1.0217,Pred top 10%
4.0806,Pred top 10%
4.0806,Pred top 10%
4.0806,Pred top 10%
6.304,Pred top 10%
6.304,Pred top 10%
0.6229,Pred top 10%
0.6229,Pred top 10%
0.6229,Pred top 10%
1.3489,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
0.79917,Pred top 10%
5.5499,Pred top 10%
3.8124,Pred top 10%
5.1927,Pred top 10%
5.1927,Pred top 10%
5.1927,Pred top 10%
0.69364,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
5.561,Pred top 10%
0.66725,Pred top 10%
0.66725,Pred top 10%
0.66725,Pred top 10%
0.66725,Pred top 10%
0.66725,Pred top 10%
0.66725,Pred top 10%
0.66725,Pred top 10%
4.9628,Pred top 10%
1.0343,Pred top 10%
1.0343,Pred top 10%
1.0343,Pred top 10%
1.0343,Pred top 10%
0.4709,Pred top 10%
0.059004,Pred top 10%
0.059004,Pred top 10%
0.059004,Pred top 10%
0.059004,Pred top 10%
0.059004,Pred top 10%
0.059004,Pred top 10%
0.059004,Pred top 10%
0.059004,Pred top 10%
0.92424,Pred top 10%
5.3088,Pred top 10%
5.3088,Pred top 10%
3.4126,Pred top 10%
3.4126,Pred top 10%
3.4126,Pred top 10%
6.4389,Pred top 10%
3.6405,Pred top 10%
3.6405,Pred top 10%
3.6405,Pred top 10%
3.6405,Pred top 10%
5.0881,Pred top 10%
1.1213,Pred top 10%
1.1213,Pred top 10%
1.1213,Pred top 10%
1.1213,Pred top 10%
1.1213,Pred top 10%
1.1213,Pred top 10%
5.6972,Pred top 10%
1.2862,Pred top 10%
1.0781,Pred top 10%
1.0781,Pred top 10%
1.0781,Pred top 10%
3.9699,Pred top 10%
3.9699,Pred top 10%
1.3094,Pred top 10%
1.3094,Pred top 10%
1.3094,Pred top 10%
0.89261,Pred top 10%
0.89261,Pred top 10%
5.3469,Pred top 10%
1.1904,Pred top 10%
1.1904,Pred top 10%
1.1904,Pred top 10%
1.1904,Pred top 10%
1.1904,Pred top 10%
