id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	Base_K562_pred	RRA
A549|chr16_81445027-81445527	4	5.6412e-09	3.0446e-06	0.000171	1	4	-6.4294	0.99999	1.0	1.0	1610	0	-6.4294	0.24152355056759564	10.967703655260529
K562|chr16_87867812-87868312	5	7.6246e-09	3.0446e-06	0.000171	2	5	-5.191	1.0	1.0	1.0	1625	0	-5.191	0.7573773044546196	-1.0
K562|chr14_35291050-35291550	4	5.137e-08	3.0446e-06	0.000171	3	4	-6.3466	1.0	1.0	1.0	1624	0	-6.3466	0.29594996727025835	-1.0
K562|chr11_78417245-78417745	8	5.3577e-08	3.0446e-06	0.000171	4	8	-6.6625	1.0	1.0	1.0	1621	0	-6.6625	0.5717626964264252	3.201321737341793
K562|chr16_87868963-87869463	7	9.4829e-08	3.0446e-06	0.000171	5	7	-4.4527	1.0	1.0	1.0	1623	0	-4.4527	0.831626425888445	3.531401619503753
A549|chr11_65467744-65468244	8	1.3052e-07	3.0446e-06	0.000171	6	6	-4.2915	0.87151	0.98083	1.0	1280	1	-4.2915	0.740203614056695	-1.0
A549|chr4_57111186-57111686	7	1.7118e-07	3.0446e-06	0.000171	7	7	-2.6541	1.0	1.0	1.0	1622	0	-2.6541	0.7602361227162432	-1.0
K562|chr19_13151457-13151957	7	2.0675e-07	3.0446e-06	0.000171	8	7	-3.1241	1.0	1.0	1.0	1620	0	-3.1241	0.8398004699140824	4.772679017451155
K562|chr15_92806677-92807177	4	4.0389e-07	3.0446e-06	0.000171	9	4	-6.7595	1.0	1.0	1.0	1619	0	-6.7595	0.4433849302004089	-1.0
A549|chr6_11171568-11172068	6	4.2556e-07	3.0446e-06	0.000171	10	6	-6.2407	1.0	1.0	1.0	1618	0	-6.2407	0.4150730745943436	-1.0
A549|chr1_39136623-39137123	8	8.6787e-07	3.0446e-06	0.000171	11	7	-5.9853	0.99189	0.99974	1.0	1527	0	-5.9853	0.6148499066764717	-1.0
A549|chr17_27348940-27349440	7	1.0623e-06	3.0446e-06	0.000171	12	6	-3.194	0.82662	0.96635	1.0	1229	1	-3.194	0.755129695491637	-1.0
K562|chr16_87857084-87857584	6	1.342e-06	3.0446e-06	0.000171	13	5	-6.216	0.98088	0.99879	1.0	1484	0	-6.216	0.2349497305598494	-1.0
K562|chr19_45885948-45886448	6	3.158e-06	3.0446e-06	0.000171	14	5	-6.4713	0.98006	0.99879	1.0	1477	0	-6.4713	0.8096147197866669	4.263149518836673
K562|chr19_13117577-13118077	5	3.424e-06	3.0446e-06	0.000171	15	5	-3.7509	1.0	1.0	1.0	1617	0	-3.7509	0.7987598818379711	3.1694562385312706
A549|chr16_81444564-81445064	5	3.4744e-06	3.0446e-06	0.000171	16	5	-3.5245	1.0	1.0	1.0	1616	0	-3.5245	0.4116430175748468	10.967703655260529
K562|chr19_16542307-16542807	8	6.5677e-06	9.1338e-06	0.000437	17	8	-2.5887	0.99999	1.0	1.0	1615	0	-2.5887	0.8470860405169236	4.162506258384823
K562|chr19_13118329-13118829	7	8.0601e-06	3.0446e-06	0.000171	18	7	-2.4708	0.99999	1.0	1.0	1614	0	-2.4708	0.7903481189377076	3.1694562385312706
A549|chr10_3875371-3875871	3	9.0519e-06	3.0446e-06	0.000171	19	3	-6.3427	0.99999	1.0	1.0	1613	0	-6.3427	0.498800033032506	-1.0
A549|chr13_110395534-110396034	6	9.0925e-06	3.0446e-06	0.000171	20	6	-5.1782	0.99991	1.0	1.0	1600	0	-5.1782	0.2324755509933984	-1.0
K562|chr6_16277910-16278410	8	9.2745e-06	9.1338e-06	0.000437	21	8	-3.04	0.99997	1.0	1.0	1608	0	-3.04	0.24136353720894327	-1.0
K562|chr4_1855698-1856198	5	9.8224e-06	3.0446e-06	0.000171	22	4	-3.3486	0.91006	0.9786	1.0	1338	0	-3.3486	0.7930983644298258	3.27461114174569
K562|chr14_35291382-35291882	6	1.002e-05	3.0446e-06	0.000171	23	6	-4.479	0.99999	1.0	1.0	1612	0	-4.479	0.7451807054048383	-1.0
A549|chr9_38068364-38068864	5	1.1874e-05	3.0446e-06	0.000171	24	5	-3.2642	0.99999	1.0	1.0	1611	0	-3.2642	0.7501566318862503	5.380134812608355
K562|chr6_37103987-37104487	6	1.277e-05	3.0446e-06	0.000171	25	5	-6.2636	0.64377	0.91439	1.0	1068	1	-6.2636	0.8085451333149478	-1.0
K562|chr1_61042905-61043405	6	1.411e-05	3.0446e-06	0.000171	26	6	-2.5124	0.99999	1.0	1.0	1609	0	-2.5124	0.3503874191854333	-1.0
A549|chr5_14144588-14145088	8	2.9056e-05	9.1338e-06	0.000437	27	8	-3.9112	0.9999	1.0	1.0	1598	0	-3.9112	0.6097322815432438	-1.0
A549|chr18_3601874-3602374	8	3.1878e-05	9.1338e-06	0.000437	28	8	-1.7922	0.99997	1.0	1.0	1607	0	-1.7922	0.5050795641316836	-1.0
A549|chr11_128523304-128523804	6	3.3043e-05	9.1338e-06	0.000437	29	6	-5.5029	0.99943	0.99996	1.0	1585	0	-5.5029	0.7533965942082095	-1.0
K562|chr12_56689707-56690207	7	3.5262e-05	3.0446e-06	0.000171	30	5	-4.0353	0.43	0.80877	1.0	847	2	-4.0353	0.7554119103264116	-1.0
A549|chr6_112205405-112205905	3	4.2912e-05	3.0446e-06	0.000171	31	3	-6.3818	0.99996	1.0	1.0	1606	0	-6.3818	0.24365742976106694	-1.0
K562|chr19_45885427-45885927	6	5.2635e-05	1.5223e-05	0.000688	32	6	-2.2029	0.99995	1.0	1.0	1605	0	-2.2029	0.4334729489184947	4.263149518836673
K562|chr1_21755048-21755548	4	5.4451e-05	3.349e-05	0.001472	33	4	-4.9542	0.99995	1.0	1.0	1604	0	-4.9542	0.541731890705383	-1.0
*SLC9A5	5	6.4488e-05	4.5669e-05	0.001856	34	5	-3.0082	0.99994	1.0	1.0	1603	0	-3.0082	-1.0	-1.0
*TMOD2	5	6.5544e-05	4.5669e-05	0.001856	35	5	-2.9787	0.99993	1.0	1.0	1602	0	-2.9787	-1.0	-1.0
K562|chr8_22691604-22692104	6	6.9565e-05	1.5223e-05	0.000688	36	6	-1.6484	0.99993	1.0	1.0	1601	0	-1.6484	0.6520052165271916	-1.0
A549|chr9_21610396-21610896	7	7.0491e-05	3.958e-05	0.001694	37	5	-4.6967	0.013559	0.11494	1.0	124	2	-4.6967	0.21378998980950636	-1.0
A549|chr20_50416429-50416929	6	9.9314e-05	0.00013701	0.00405	38	6	-1.8829	0.9999	1.0	1.0	1599	0	-1.8829	0.7514537995303059	-1.0
K562|chr11_361827-362327	6	0.0001051	0.00013701	0.00405	39	6	-5.7967	0.98997	0.99916	1.0	1514	0	-5.7967	0.6325036703065734	-1.0
K562|chr16_81445302-81445802	5	0.00011535	5.7847e-05	0.002294	40	5	-3.7177	0.99988	0.99999	1.0	1596	0	-3.7177	0.353072844283265	10.967703655260529
