id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	Base_K562_pred	RRA
A549|chr22_45672027-45672527	8	1.5514e-14	3.0502e-06	0.000495	1	8	-4.2086	0.99993	0.99998	1.0	1618	0	-4.2086	0.40047285189082726	5.19114785246488
K562|chr19_41860591-41861091	7	1.0274e-09	3.0502e-06	0.000495	2	6	-2.3001	0.56955	0.87172	1.0	1269	1	-2.3001	0.8449776962094488	5.190965796506689
K562|chr12_130871626-130872126	6	2.0022e-09	3.0502e-06	0.000495	3	5	-2.6694	0.93986	0.97211	1.0	1554	1	-2.6694	0.8992897796914272	14.577968569346378
*CHAF1B	5	1.6473e-08	3.0502e-06	0.000495	4	5	-3.2582	1.0	1.0	1.0	1622	0	-3.2582	-1.0	-1.0
K562|chr10_100347125-100347625	5	1.9562e-08	3.0502e-06	0.000495	5	5	-3.7668	1.0	1.0	1.0	1621	0	-3.7668	0.6611897633043623	9.228419867649306
K562|chr2_26786473-26786973	8	2.4367e-06	3.0502e-06	0.000495	6	5	-0.85922	0.21658	0.62989	1.0	747	2	-0.85922	0.8098923932992736	9.810004660035682
K562|chr1_246565749-246566249	7	2.975e-06	3.0502e-06	0.000495	7	5	-1.3155	0.7236	0.93112	1.0	1389	1	-1.3155	0.7684802876491147	3.3514253346910063
A549|chr16_81444564-81445064	8	5.474e-06	3.0502e-06	0.000495	8	3	0.14463	0.14944	0.51228	1.0	597	5	0.14463	0.4116430175748468	10.967703655260529
K562|chr10_100346798-100347298	5	6.0984e-06	3.0502e-06	0.000495	9	4	-3.9626	0.68043	0.86823	1.0	1352	1	-3.9626	0.2399931082854431	9.228419867649306
A549|chr22_45671816-45672316	2	9.8157e-06	3.0502e-06	0.000495	10	2	-5.6212	0.99999	1.0	1.0	1620	0	-5.6212	0.7132115046823309	7.422899011198985
K562|chr14_35292053-35292553	7	2.5693e-05	2.1351e-05	0.00315	11	6	-1.1349	0.7331	0.93112	1.0	1395	1	-1.1349	0.7707826938629941	5.054437869442936
K562|chr6_42050547-42051047	8	3.3925e-05	5.1854e-05	0.006474	12	5	-1.0017	0.93284	0.98356	1.0	1548	1	-1.0017	0.24239243582537506	3.646276062411051
K562|chr6_52284317-52284817	8	6.061e-05	7.0155e-05	0.007591	13	5	-1.1214	0.69123	0.92485	1.0	1360	3	-1.1214	0.7895551047744215	8.311873960084457
K562|chr10_100357298-100357798	8	6.306e-05	7.0155e-05	0.007591	14	8	-2.6057	0.99994	0.99998	1.0	1619	0	-2.6057	0.3002104284718356	-1.0
A549|chr22_45672233-45672733	5	0.00014004	3.9653e-05	0.005363	15	4	-1.3649	0.93607	0.95674	1.0	1552	1	-1.3649	0.7726718486195528	3.1660755529404674
K562|chr6_52284674-52285174	4	0.00015025	8.8456e-05	0.008973	16	4	-1.7121	0.99985	0.99994	1.0	1617	0	-1.7121	0.7597611654450983	8.311873960084457
*ACAD9	5	0.00016376	0.00011896	0.010726	17	5	-4.3256	0.98979	0.99503	1.0	1598	0	-4.3256	-1.0	-1.0
K562|chr2_26785657-26786157	8	0.00018943	0.00028977	0.02401	18	6	-1.644	0.9952	0.99819	1.0	1610	0	-1.644	0.6371609005160012	9.810004660035682
K562|chr19_16542011-16542511	4	0.00019044	0.00011896	0.010726	19	3	-0.92956	0.55194	0.76449	1.0	1240	1	-0.92956	0.7420454888745622	4.162506258384823
K562|chr22_39501999-39502499	8	0.00021863	0.00029587	0.02401	20	7	-0.54845	0.82021	0.96245	1.0	1465	1	-0.54845	0.7537921893698848	5.913533388728418
K562|chr10_100373496-100373996	8	0.00025671	0.00032637	0.025224	21	6	-0.84637	0.71122	0.93156	1.0	1381	1	-0.84637	0.8588905276500258	10.284121951691906
K562|chr22_39502703-39503203	7	0.00027868	0.00037518	0.027678	22	6	-1.4853	0.46606	0.83056	1.0	1122	1	-1.4853	0.7367784610762518	4.114322222306394
K562|chr6_50822042-50822542	8	0.00036618	0.00061919	0.040198	23	7	-1.1628	0.89835	0.97606	1.0	1524	1	-1.1628	0.748099872837094	-1.0
K562|chr6_52284056-52284556	7	0.00046084	0.00055819	0.037748	24	4	-0.27407	0.52413	0.84887	1.0	1208	3	-0.27407	0.8511511215786001	8.290594343199944
K562|chr14_35292375-35292875	5	0.00047633	0.00049718	0.035084	25	5	-2.6614	0.98894	0.9939	1.0	1595	0	-2.6614	0.7566310103451747	5.054437869442936
K562|chr4_1855698-1856198	8	0.00048386	0.0006924	0.041621	26	4	-0.09037	0.77047	0.95173	1.0	1427	3	-0.09037	0.7930983644298258	3.27461114174569
K562|chr19_41859905-41860405	6	0.00050862	0.00091811	0.046566	27	6	-2.3466	0.99934	0.99982	1.0	1615	0	-2.3466	0.7009921070475389	6.877063626983696
K562|chr11_78417245-78417745	6	0.00053385	0.00091811	0.046566	28	4	-0.6906	0.65191	0.89042	1.0	1326	1	-0.6906	0.5717626964264252	3.201321737341793
K562|chr12_56725159-56725659	8	0.00054633	0.00085101	0.04604	29	4	-0.11067	0.77539	0.95302	1.0	1433	3	-0.11067	0.7722290258681376	5.793957098907479
K562|chr6_42050280-42050780	3	0.00061111	0.0007595	0.044024	30	2	-1.4896	0.14381	0.35707	1.0	581	1	-1.4896	0.23852928515207136	3.646276062411051
A549|chr3_30631997-30632497	8	0.00061826	0.00094862	0.046655	31	8	-0.68603	0.99938	0.99983	1.0	1616	0	-0.68603	0.682901417961149	-1.0
A549|chr22_45671574-45672074	3	0.00066175	0.0011438	0.054601	32	1	0.13727	0.42821	0.65661	1.0	1069	2	0.13727	0.8722207167574918	7.422899011198985
K562|chr12_130871897-130872397	4	0.0010674	0.00080831	0.045237	33	3	-2.8137	0.90355	0.92841	1.0	1528	1	-2.8137	0.8719445528120635	14.577968569346378
K562|chr6_50822584-50823084	8	0.0012229	0.0017478	0.078795	34	7	-1.0496	0.82006	0.96245	1.0	1463	1	-1.0496	0.6663842087555595	-1.0
A549|chr9_21559376-21559876	2	0.0013234	0.000668	0.041621	35	2	-1.1834	0.93475	0.95361	1.0	1551	0	-1.1834	0.2706975122795689	-1.0
K562|chr1_47224076-47224576	5	0.0013357	0.0017478	0.078795	36	2	0.10378	0.42928	0.74907	1.0	1073	3	0.10378	0.1708521527573192	-1.0
K562|chr12_130872540-130873040	5	0.0015435	0.0022358	0.095492	37	3	-0.63961	0.82615	0.92117	1.0	1473	1	-0.63961	0.8200943117524762	14.577968569346378
A549|chr2_160373212-160373712	7	0.0015709	0.0026628	0.108045	38	7	-0.72639	0.99743	0.99902	1.0	1613	0	-0.72639	0.5154796089417509	-1.0
K562|chr19_4402214-4402714	4	0.0015876	0.0019552	0.085764	39	3	-1.3268	0.89685	0.91939	1.0	1522	1	-1.3268	0.7841493925797061	14.659298161268325
K562|chr2_26786143-26786643	5	0.0017798	0.0024188	0.10066	40	4	-0.94432	0.96122	0.97811	1.0	1571	0	-0.94432	0.764209422476487	9.810004660035682
A549|chr20_50416429-50416929	8	0.0020118	0.0040903	0.150878	41	3	0.39783	0.1407	0.49978	1.0	569	5	0.39783	0.7514537995303059	-1.0
K562|chr19_5977967-5978467	8	0.0020705	0.0040903	0.150878	42	5	-0.55846	0.44334	0.80852	1.0	1094	3	-0.55846	0.8835812352890032	4.975760693930908
K562|chr2_10289279-10289779	8	0.0021187	0.0046882	0.162102	43	7	-0.88729	0.95979	0.98971	1.0	1570	1	-0.88729	0.22744219574306085	-1.0
K562|chr1_8878532-8879032	5	0.0021213	0.0034864	0.134724	44	3	-0.563	0.39648	0.71819	1.0	1038	2	-0.563	0.8656210488973787	5.946729433318621
A549|chr11_128462780-128463280	8	0.0021923	0.0046882	0.162102	45	7	-1.0258	0.80807	0.95997	1.0	1459	1	-1.0258	0.361163622456411	-1.0
K562|chr10_100372804-100373304	8	0.0023955	0.0046943	0.162102	46	6	-0.67158	0.6339	0.90888	1.0	1319	2	-0.67158	0.6691932159656773	10.284121951691906
K562|chr1_26695721-26696221	4	0.0026526	0.0034681	0.134724	47	4	-1.0675	0.99735	0.99903	1.0	1612	0	-1.0675	0.818172111069656	4.216046422595962
K562|chr6_16216360-16216860	8	0.0028836	0.0049017	0.162356	48	6	-0.84669	0.8522	0.96969	1.0	1489	2	-0.84669	0.22003898391657284	-1.0
A549|chr4_57118978-57119478	8	0.0029147	0.0049017	0.162356	49	6	-0.94538	0.63449	0.90888	1.0	1320	2	-0.94538	0.5147188488118869	-1.0
A549|chr6_112214595-112215095	8	0.0035549	0.0060852	0.18308	50	7	-1.2211	0.064138	0.31397	1.0	330	1	-1.2211	0.21613504688580887	-1.0
A549|chr3_127799412-127799912	8	0.0035709	0.0060852	0.18308	51	6	-1.0239	0.79698	0.95546	1.0	1449	2	-1.0239	0.7637411290139072	-1.0
K562|chr11_117986057-117986557	8	0.0037223	0.0062255	0.18308	52	4	0.090561	0.0093758	0.075429	1.0	62	4	0.090561	0.8639912640169265	3.151773923348828
A549|chr17_27348940-27349440	8	0.003762	0.0062255	0.18308	53	6	-0.40619	0.37029	0.77244	1.0	1003	1	-0.40619	0.755129695491637	-1.0
A549|chr4_168631318-168631818	8	0.003766	0.0062255	0.18308	54	5	-0.5544	0.0010278	0.014705	1.0	7	3	-0.5544	0.5760593007727336	-1.0
A549|chr9_71767994-71768494	5	0.0039352	0.005469	0.177525	55	4	-0.93403	0.88512	0.94331	1.0	1513	1	-0.93403	0.8796320324789124	3.154263396361909
A549|chr12_62792454-62792954	7	0.0043335	0.010715	0.285262	56	6	-0.99403	0.45844	0.82463	1.0	1115	1	-0.99403	0.42915220452157987	-1.0
K562|chr12_47820038-47820538	7	0.0044787	0.010721	0.285262	57	5	-0.69444	0.23993	0.61939	1.0	801	2	-0.69444	0.802107238554283	4.392963387775915
A549|chrX_107715948-107716448	7	0.0046256	0.010953	0.286729	58	3	0.000662	0.15507	0.52673	1.0	614	3	0.000662	-1.0	-1.0
A549|chr11_128521552-128522052	4	0.0048259	0.006317	0.18308	59	4	-0.97931	0.99517	0.99811	1.0	1609	0	-0.97931	0.24348012058492952	-1.0
A549|chr5_14184697-14185197	8	0.0051361	0.007653	0.217909	60	7	-0.63866	0.99231	0.99598	1.0	1602	1	-0.63866	0.8148339667789991	-1.0
A549|chr1_67683751-67684251	8	0.0057273	0.012851	0.308429	61	7	-1.0506	0.47646	0.84773	1.0	1130	1	-1.0506	0.2736543961643439	-1.0
K562|chr12_130871308-130871808	8	0.0057296	0.012851	0.308429	62	4	-0.1504	0.41721	0.80067	1.0	1057	4	-0.1504	0.8281139964409362	14.577968569346378
K562|chr3_195118670-195119170	8	0.0065928	0.014217	0.308429	63	7	-0.53649	0.99652	0.99902	1.0	1611	0	-0.53649	0.4876456741868124	-1.0
K562|chr22_41836446-41836946	7	0.0066017	0.012808	0.308429	64	3	-0.023579	0.55138	0.86152	1.0	1239	3	-0.023579	0.22901377734100115	-1.0
A549|chr2_20540229-20540729	8	0.0066876	0.014223	0.308429	65	3	-0.070507	0.16709	0.53462	1.0	641	3	-0.070507	0.7672447448213866	3.268169579711837
A549|chr2_43130377-43130877	8	0.0069855	0.014437	0.308429	66	4	-0.76644	0.97236	0.99154	1.0	1580	1	-0.76644	0.4086765745778949	-1.0
A549|chr10_33341326-33341826	8	0.0072049	0.014443	0.308429	67	7	-1.1071	0.97079	0.99154	1.0	1579	1	-1.1071	0.3140762711128515	-1.0
K562|chr17_78255007-78255507	5	0.0073301	0.012521	0.308429	68	2	0.38487	0.30427	0.64317	1.0	916	3	0.38487	0.24523576711349782	-1.0
K562|chr17_78237374-78237874	7	0.0074095	0.013857	0.308429	69	6	-0.51646	0.99477	0.99843	1.0	1608	0	-0.51646	0.7993410345080989	-1.0
K562|chr11_340293-340793	7	0.0074204	0.013857	0.308429	70	6	-0.53076	0.99222	0.99722	1.0	1600	0	-0.53076	0.7617144469741663	-1.0
K562|chr10_3067249-3067749	4	0.007446	0.0095258	0.262041	71	4	-0.48789	0.99255	0.99667	1.0	1604	0	-0.48789	0.78389494639644	6.48011952667834
A549|chr10_3755699-3756199	8	0.0074994	0.014961	0.31131	72	5	-1.057	0.55621	0.88067	1.0	1250	3	-1.057	0.7838756828586917	-1.0
A549|chr14_68655427-68655927	8	0.0077248	0.01745	0.340099	73	4	-0.26343	0.30946	0.73086	1.0	922	2	-0.26343	0.4534696242000313	-1.0
A549|chr2_43336266-43336766	8	0.0077283	0.01745	0.340099	74	7	-1.0912	0.99232	0.99598	1.0	1603	1	-1.0912	0.2328295178964337	-1.0
K562|chr1_26051193-26051693	7	0.0079903	0.013863	0.308429	75	5	-0.91511	0.89119	0.96948	1.0	1517	2	-0.91511	0.7847017598898738	-1.0
A549|chr18_77063686-77064186	7	0.0083167	0.013863	0.308429	76	6	-0.70706	0.96571	0.98642	1.0	1573	1	-0.70706	0.4161564302389299	-1.0
K562|chr6_16266700-16267200	6	0.0084075	0.01656	0.340099	77	4	-0.6171	0.75967	0.92358	1.0	1421	2	-0.6171	0.2967916404112197	-1.0
A549|chr4_7970529-7971029	8	0.0085143	0.018018	0.340099	78	5	-0.35112	0.45701	0.82903	1.0	1112	3	-0.35112	0.5476881718978263	-1.0
K562|chr11_94738665-94739165	7	0.0085478	0.014211	0.308429	79	6	-0.59343	0.92918	0.98076	1.0	1545	1	-0.59343	0.8026891537549896	-1.0
A549|chr4_57149813-57150313	5	0.0087821	0.013851	0.308429	80	4	-0.9804	0.029433	0.15514	1.0	170	1	-0.9804	0.7791482409504684	-1.0
A549|chr12_52965216-52965716	8	0.0088962	0.018024	0.340099	81	4	-0.17759	0.21829	0.62989	1.0	751	4	-0.17759	0.8222532740791748	-1.0
K562|chr10_131902133-131902633	7	0.0090688	0.014803	0.31131	82	5	-0.88901	0.66442	0.90135	1.0	1339	2	-0.88901	0.5125504357055047	-1.0
K562|chr10_3068369-3068869	8	0.0093007	0.018853	0.340099	83	4	0.094394	0.043113	0.25699	1.0	240	4	0.094394	0.38763498559841897	6.48011952667834
K562|chr22_39513851-39514351	8	0.0094598	0.018853	0.340099	84	7	-0.23268	0.34587	0.75728	1.0	964	1	-0.23268	0.7779731972502676	-1.0
